title,description,type_specific,file,label,content,date,name,role,email,details
AASTMT Announcements,,announcement,html\plain_aast.edu_en_announcements_index.php_unit_id=1.html,announcement,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world. Connects the AASTMT and its students with the broader community. It involves volunteering and engagement in various projects and activities aimed at addressing societal needs. with economic challenges & sustained economic growth quality has become an urgent need MRCC was established in the AASTMT to serve the maritime transport sector in Egypt and Arab countries. The RMSI was established at AASTMT to implement the international requirements. Consultancy Services through Arab Maritime Accident Investigation Consultative Center - AMAIC This's an announcement and information required for the 3rd International Staff Training Week (ESOGU ISTW 2025) between 12-16 May 2025 within the Erasmus+ ICM partnership between ESOGU and AASTMT. This's an announcement and information required for the 3rd International Staff Training Week (ESOGU ISTW 2025) between 12-16 May 2025 within the Erasmus+ ICM partnership between ESOGU and AASTMT. Tender for procurement of Waste Transportation Truck Tender for procurement of Waste Transportation Truck TOR for consultant to technical support to five winning teams in the Unigreen National Competition TOR for consultant to technical support to five winning teams in the Unigreen National Competition TOR for professors for the support of TAs PhD preparation. Unigreen Project TOR for professors for the support of TAs PhD preparation. Unigreen Project TOR for One lead consultant for the compilation and drafting of the policy paper TOR for One lead consultant for the compilation and drafting of the policy paper Unigren Project Case Study Design and Printing Services Request Announcement Unigren Project Case Study Design and Printing Services Request Announcement",,,,,
AASTMT Calendars,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_calendar_index.php_unit_id=1.html,college,,,,,,
About AASTMT,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_campuses_.html,college,,,,,,
El Alamein Campus,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_campuses_Elalamein_.html,college,,,,,,
AASTMT Heliopolis Campus,"Over more than 30 years, the AASTMT has had many achievements in education, training and research in the fields of maritime transport, engineering and management sciences. This is due to the methodological application of modern technology in these fields. The AASTMT was thus able to move from regionalism to internationalism. read more",college,html\plain_aast.edu_en_campuses_heliopolis_.html,college,,,,,,
About AASTMT,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_campuses_index.php.html,college,,,,,,
Port Said Campus,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_campuses_portsaid_.html,college,,,,,,
Smart Village Campus| AASTMT,"In the middle of the contemporary hub of Business Technology at Smart Village is located the newest branch of the Arab Academy for Science, Technology and Maritime Transport. AASTMT established this state-of-the-art Campus in 2012. With the Three Colleges open for ambitious students from all over the Arab World, we hope to offer them the same top quality education we always did, added to it exceptional advantages of Summer Training Opportunities, Internship Programs and Job Offers from the hundreds of Multinational Companies within this elite business commuity.",college,html\plain_aast.edu_en_campuses_smartvillage_.html,college,,,,,,
South Valley Campus| AASTMT,"The Arab Academy for Science, Technology, and Maritime Transport (AASTMT) is a member organization of the League of Arab States. It has the mandate to provide educational, vocational, and consultancy services to the communities of member nations of the League. In 2005, the Governorate of Aswan invited AASTMT to initiate a campus in the city. The purpose of the campus is to catalyze the development of the South Valley region, which comprises Aswan, Luxor, Qena, Sohag, Asyut, Minya, the Red Sea, and the New Valley. Accordingly, the city designated to AASTMT the dormitories of the Hotel School as a temporary campus in addition to a neighboring 3,250 sqm land for the construction of the permanent campus. Instructions started for the first time on the South Valley campus in October 2006.",college,html\plain_aast.edu_en_campuses_southValley_.html,college,,,,,,
AASTMT Centers,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_centers_.html,college,,,,,,
Agreements & International Cooperation Center | Homepage,AASTMT administration has also recognized that our students must be exposed to different cultures speak different languages and experience different business practices in order to achieve success in an increasing by demanding academic and career market place.,college,html\plain_aast.edu_en_centers_aicc_.html,college,,,,,,
The Maritime Research and Consultation Center Alexandria,,news,html\plain_aast.edu_en_centers_mrcc_.html,news,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world. Connects the AASTMT and its students with the broader community. It involves volunteering and engagement in various projects and activities aimed at addressing societal needs. with economic challenges & sustained economic growth quality has become an urgent need MRCC was established in the AASTMT to serve the maritime transport sector in Egypt and Arab countries. The RMSI was established at AASTMT to implement the international requirements. Consultancy Services through Arab Maritime Accident Investigation Consultative Center - AMAIC the 1st regional research and consultation center in the middle east and north Africa the 1st regional research and consultation center in the middle east and north africa the 1st regional research and consultation center in the middle east and north africa the 1st regional research and consultation center in the middle east and north africa more more more The idea of establishing the Maritime Research and Consultation Center (MRCC) originated from the desire to catch up with the advanced development in fields of Maritime Research and consultation, The main purpose to help in promoting the minds and talents of the MENA region Years of Experience Completed Projects Current Projects & Study Customers","var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
"Arab Academy for Science, Technology & Maritime Transport | Colleges","We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_.html,college,,,,,,
Why College of Computing?,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_ccit_heliopolis_.html,college,,,,,,
Why College of Computing and Information Technology?,"Our cutting-edge curriculum and hands-on approach to learning ensure that every student is equipped with the tools they need to succeed in today's fast-paced, technology-driven world. We're not just teaching computer science, we're shaping a generation of trailblazers who are passionate about harnessing the power of technology to make a positive impact on society. So, if you're ready to unleash your creativity and transform the world, come join us at CCIT-SV!",college,html\plain_aast.edu_en_colleges_ccit_smartvillage_.html,college,,,,,,
Why International Transport & Logistics College?,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_citl_southvalley_.html,college,,,,,,
Why Language and Communication ?,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_clc_smartvillage_.html,college,,,,,,
Why Management and Technology-Dokki?,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_.html,college,,,,,,
Our Announcements,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_announcements.php_unit_id=366.html,college,,,,,,
Our Events,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_events.php_unit_id=366.html,college,,,,,,
Why Management and Technology-Dokki?,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_index.php.html,college,,,,,,
Our News,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_news.php_unit_id=366.html,college,,,,,,
Our Galleries,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_photogallery.php_unit_id=366.html,college,,,,,,
College of Management & Technology-Cairo | AASTMT,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_sitemap.php_unit_id=366.html,college,,,,,,
Faculty and Staff,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=1&unit_id=366.html,college,,,,,,
,,staff,html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=2&unit_id=366.html,staff,,,Faculty and Staff,,Life @ AASTMT,
,,staff,html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=3&unit_id=366.html,staff,,,Faculty and Staff,,Life @ AASTMT,
Why College of Management and Technology Alamein ?,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_.html,college,,,,,,
Our Album,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1161.html,college,,,,,,
Our Album,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1162.html,college,,,,,,
Our Album,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1190.html,college,,,,,,
Our Album,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1191.html,college,,,,,,
Our Announcements,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_announcements.php_unit_id=616.html,college,,,,,,
Our Events,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_events.php_unit_id=616.html,college,,,,,,
Why College of Management and Technology Alamein ?,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_index.php.html,college,,,,,,
,,staff,html\plain_aast.edu_en_colleges_cmt_elalamein_list_staff.php_unit_id=616.html,staff,,,Faculty and Staff,,Life @ AASTMT,
Our News,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_news.php_unit_id=616.html,college,,,,,,
Our Galleries,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_elalamein_photogallery.php_unit_id=616.html,college,,,,,,
Our Announcements,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_announcements.php_unit_id=385.html,college,,,,,,
College of Management & Technology-Cairo | AASTMT,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_contact-us.php_unit_id=385.html,college,,,,,,
,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_contenttemp.php_m=15&p=38500028&a=b.html,college,,,,,,
Our Latest,"Learn how to navigate the challenges of today's open and interlinked market spaces, face the ever-growing fierce competition and venture into foreign markets with our Doctorate and Masters and Diploma programs. This is your gate way to growth and success. Start now!",department,html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10052.html,department,,,,,,
Our Latest,"Bachelor of Science (BSc) in Digital and Sustainable Business Economics: This is an undergraduate degree that provides students with a strong foundation in economics, business, sustainable, and digital technologies.",department,html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10053.html,department,,,,,,
Accounting,,college,html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10065.html,college,,,,,,
Our Latest,"Marketing skills are a must-have to navigate our fast paced era, one that depends on human interaction as an essential function of business. these indispensable skills include learning about consumer insights the ability to influence purchase decisions, data interpretation, human interaction, understanding the business-consumer relationship from both perspectives and much more.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=400.html,college,,,,,,
Our Latest,"the curriculum for degree typically includes courses in computer science, information systems, database management, programming, and other related fields. Graduates of BIS programs may go on to work in a variety of roles in the technology industry, such as software development, database administration , network management, and IT consulting.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=401.html,college,,,,,,
Our Latest,"Accounting is the right path for you if you're seeking a program to quality you to act as a vital buffer to global markets. while Finance provides the bigger picture for any organization. With the proliferation of ground breaking fintech services, the unprecedented growth in banking, and the interconnectedness of global economics dominating the scene, the role of finance has become increasingly central to business.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=402.html,college,,,,,,
AASTMT - CMT Training,"Our mission is to continuously identify, assimilate and deliver on the latest techniques in the field of management and technology. we commit ourselves to the participatory engagement of trainers, scholars, students and the civil society in innovative, creative and progressive programs aimed at enlightenment and emancipation at individual and societal levels.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=686.html,college,,,,,,
Our Events,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_events.php_unit_id=385.html,college,,,,,,
Our News,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_news.php_unit_id=385.html,college,,,,,,
Our Galleries,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_photogallery.php_unit_id=385.html,college,,,,,,
Faculty and Staff,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php.html,college,,,,,,
Faculty and Staff,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=1&unit_id=385.html,college,,,,,,
,,staff,html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=2&&unit_id=385.html,staff,,,Faculty and Staff,,Life @ AASTMT,
Faculty and Staff,"We believe that Sustainable excellence in education and research, development, and innovation are our way of attaining leadership among universities and educational institutions in the Arab world.",college,html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=3&unit_id=385.html,college,,,,,,
About Us,,news,html\plain_aast.edu_en_colleges_cmt_latakia_.html,news,"Beginning of Study of First Semester Beginning of Study of First Semester Beginning Of ""First Semester"" Registration And Tuition Fees Payment Beginning Of ""First Semester"" Registration And Tuition Fees Payment Beginning Of Summer Semester Final Exams Beginning Of Summer Semester Final Exams 23rd July Revolution Day 23rd July Revolution Day Follow us in social media","<li><a href=""staff_all.php?admin=1""><i class=""fa fa-user""></i>Staff</a></li> <li><a href=""contenttempsub.php?unit_id=485&page_id=48500001""><i class=""fa fa-graduation-cap""></i>Alumni</a></li> <li><a href=""""><i class=""fa fa-sitemap""></i>Sitemap</a></li>",,,,
